gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29	gene30	gene31	gene32	gene33	gene34	gene35	gene36	gene37	gene38	gene39	gene40	gene41	gene42	gene43	gene44	gene45	gene46	gene47	gene48	gene49	gene50	gene51	gene52	gene53	gene54	gene55	gene56	gene57	gene58	gene59	gene60	gene61	gene62	gene63	gene64	gene65	gene66	gene67	gene68	gene69	gene70	gene71	gene72	gene73	gene74	gene75	gene76	gene77	gene78	gene79	gene80	gene81	gene82	gene83	gene84	gene85	gene86	gene87	gene88	gene89	gene90	gene91	gene92	gene93	gene94	gene95	gene96	gene97	gene98	gene99	gene100
1	0.9994	2.09526	1.18389	1.1486	1.68719	0.90515	0.95389	1.33363	1.49857	0.81536	1.17836	1.13731	1.32309	1.33196	1.02751	1.33623	1.53709	1.13535	1.90663	0.98712	1.4555	1.09204	1.15237	1.67369	1.18118	1.13302	1.1878	0.92671	1.95436	1.64282	1.53783	1.3804	1.76253	1.27113	1.18787	1.35011	1.63979	1.21958	1.54599	1.2869	1.1014	1.11528	1.54278	2.0931	1.01855	1.22167	1.45128	1.07672	1.6111	1.28032	1.1195	1.38212	1.49285	1.39313	1.44326	1.22282	1.47347	1.68836	1.18308	1.22108	1.39541	1.07379	1.62321	1.67719	1.15737	1.1262	1.16292	1.5962	1.03863	1.23712	1.49579	1.6099	1.16148	1.34457	1.03765	1.37981	1.44357	1.27226	1.20454	0.99381	1.23241	1.45044	1.01126	1.08512	1.08454	1.68248	1.70716	1.52942	0.97194	1.35554	1.18265	1.04652	1.07356	1.29126	1.21911	1.02428	1.47594	1.43566	1.31463	1.75995
3	0.9857	2.03689	1.15782	1.14196	1.81992	0.90217	0.93911	1.34627	1.48219	0.83114	1.17828	1.2	1.283	1.31274	1.08889	1.32808	1.5045	1.07663	1.95519	1.04843	1.50879	1.08921	1.17289	1.74401	1.28064	1.12179	1.21043	0.91144	1.9417	1.62189	1.47771	1.34143	1.79039	1.24056	1.18186	1.3735	1.62941	1.18366	1.55289	1.30977	1.13913	1.19398	1.55882	2.11354	1.02253	1.16599	1.49742	1.04203	1.6219	1.27393	1.15878	1.39717	1.44998	1.29926	1.44461	1.22937	1.43293	1.71473	1.17403	1.21976	1.44072	1.0507	1.58674	1.65466	1.14035	1.05016	1.19602	1.536	1.03427	1.32352	1.40105	1.65953	1.21373	1.33082	0.97542	1.42031	1.44815	1.24754	1.24161	1.10764	1.22506	1.45618	1.07814	1.14486	1.08514	1.70263	1.75199	1.56557	0.99442	1.3636	1.16839	1.03729	1.098	1.29785	1.17861	1.04137	1.46498	1.48086	1.40808	1.70177
7	1.11643	2.03755	1.18627	1.12331	1.8553	0.83851	1.14426	1.38147	1.47601	0.95979	1.05136	1.26211	1.39076	1.2335	0.9426	1.50709	1.40574	1.15574	1.79592	1.22814	1.29444	1.12954	1.13289	1.63141	1.17465	1.15754	1.17438	0.63291	1.95042	1.74033	1.50822	1.39813	1.79867	1.11664	1.19909	1.39318	1.63594	1.09499	1.60602	1.23631	1.10674	1.03398	1.5344	2.05003	1.0331	1.059	1.41924	1.02337	1.59332	1.10362	1.04098	1.49026	1.56381	1.22264	1.43325	1.09608	1.46173	1.78171	1.33826	1.04607	1.54707	1.09627	1.70833	1.71447	1.29776	1.06324	1.21254	1.46046	1.18193	1.31175	1.38296	1.65161	1.19291	1.36865	0.75992	1.53404	1.42011	1.19889	1.34756	1.07792	1.23764	1.50377	1.0484	1.04578	1.13773	1.73774	1.84884	1.61483	0.97433	1.43465	1.30177	0.97904	1.18342	1.26389	1.21982	0.99529	1.49037	1.46719	1.28152	1.72703
8	1.09527	1.99037	1.19361	1.07778	1.76975	0.88166	1.22291	1.4232	1.46534	0.92844	1.06755	1.23086	1.37547	1.27594	0.93288	1.43265	1.43433	1.16778	1.77998	1.20681	1.30025	1.15722	1.1637	1.68008	1.18818	1.14745	1.1795	0.67315	2.02551	1.72634	1.47158	1.32433	1.70654	1.12357	1.20522	1.39472	1.60178	1.10598	1.55132	1.30353	1.12209	1.03542	1.57111	1.97206	0.9644	1.08031	1.39855	1.04001	1.69517	1.13017	1.03796	1.5844	1.53424	1.2272	1.36472	1.10787	1.39314	1.66742	1.2689	1.10268	1.53006	1.11884	1.70862	1.78358	1.27857	1.04852	1.18201	1.50064	1.26218	1.32718	1.36944	1.67874	1.17054	1.20653	0.76655	1.46896	1.43701	1.21696	1.34539	1.08105	1.21806	1.51281	1.04754	1.01576	1.12964	1.77114	1.80717	1.51893	1.01763	1.46965	1.30159	0.93278	1.12566	1.23817	1.22218	0.94774	1.48209	1.51684	1.30966	1.7847
9	1.07461	1.87499	1.25262	1.1184	1.81082	0.8594	1.23021	1.41689	1.39917	0.91411	1.0814	1.09914	1.37581	1.17418	0.86429	1.42775	1.35777	1.17124	1.74276	1.14186	1.29031	1.15364	1.15707	1.74208	1.25601	1.3037	1.04678	0.81162	1.9729	1.66648	1.42986	1.32549	1.64146	1.18049	1.23494	1.36536	1.61751	1.00605	1.54607	1.27257	1.07583	0.99105	1.52653	2.01205	0.95187	1.15685	1.37851	0.97598	1.76195	1.23966	1.05689	1.4463	1.48318	1.31904	1.3984	1.10599	1.45443	1.69457	1.27683	1.15011	1.51295	1.10341	1.71316	1.66193	1.21966	1.09279	1.13988	1.58472	1.15081	1.3798	1.33782	1.72548	1.2124	1.29924	0.84128	1.52016	1.46412	1.16722	1.20835	1.08226	1.24577	1.49943	1.03275	1.00567	1.12369	1.77284	1.79162	1.53805	0.94725	1.40523	1.26542	0.98322	1.07996	1.2962	1.1643	0.9348	1.42431	1.4898	1.2911	1.68258
11	1.16224	1.88721	1.27321	1.07384	1.81899	0.87258	1.16792	1.44566	1.41985	1.02314	1.0456	1.09408	1.39027	1.21743	0.93846	1.45134	1.48909	1.08633	1.77697	1.22376	1.36632	1.14536	1.17635	1.65853	1.32647	1.24007	1.12739	0.75717	1.97523	1.70201	1.44042	1.44716	1.68761	1.21421	1.18741	1.35496	1.61861	0.97863	1.57425	1.26962	1.10789	1.00836	1.65132	1.92012	0.96882	1.24041	1.41554	1.03944	1.67293	1.19941	1.16722	1.53558	1.5416	1.25289	1.25797	1.03914	1.35164	1.72906	1.28145	1.1644	1.51186	1.1418	1.61914	1.77508	1.28263	1.09405	1.20146	1.52179	1.14256	1.33378	1.39336	1.72594	1.09439	1.25848	0.86442	1.49561	1.47727	1.18202	1.31256	1.0771	1.08977	1.46731	0.95495	1.06851	1.16957	1.86603	1.88656	1.4434	0.92734	1.40377	1.18558	1.01418	1.09699	1.27589	1.15373	0.98169	1.39685	1.41034	1.26026	1.69122
14	1.05639	1.85772	1.23175	1.0652	1.8203	0.92748	1.13139	1.59546	1.33794	1.04849	1.0062	1.11674	1.53455	1.23265	0.79886	1.48012	1.67524	1.1974	1.82101	1.16557	1.44985	1.11974	1.14914	1.59227	1.36674	1.19876	1.07152	0.82656	2.00922	1.76304	1.42802	1.40713	1.83182	1.3104	1.18345	1.33657	1.69042	0.99817	1.55347	1.26921	1.08595	1.05763	1.67086	2.07243	1.0371	1.24204	1.34699	0.95259	1.66521	1.26729	1.11934	1.49175	1.51576	1.33231	1.25991	1.11554	1.4132	1.74214	1.21478	1.1009	1.45876	1.1893	1.68234	1.71674	1.21658	1.03102	1.25287	1.54014	1.16115	1.30028	1.33375	1.7391	1.00552	1.33411	0.91185	1.50542	1.39096	1.1177	1.37769	1.11243	1.14996	1.39246	0.92553	1.02104	1.15139	1.87971	1.84332	1.50249	0.84203	1.32279	1.04519	1.01827	1.07095	1.40711	1.15491	1.00882	1.44266	1.4184	1.22896	1.73563
15	1.07401	1.9453	1.19182	1.03522	1.7577	0.92792	1.10347	1.51223	1.3873	1.03645	0.98532	1.09647	1.5633	1.28	0.95371	1.35579	1.65609	1.10042	1.76178	1.15099	1.52373	1.13729	1.07628	1.58956	1.25795	1.13763	1.02602	0.84604	1.99024	1.68859	1.40999	1.3911	1.69276	1.19149	1.18056	1.30062	1.69054	1.05811	1.65251	1.2671	1.11323	1.04414	1.5739	2.04016	0.99634	1.28576	1.36083	1.05969	1.64169	1.30963	1.08695	1.49363	1.47828	1.31942	1.27851	1.16059	1.41979	1.69749	1.33385	1.10437	1.54365	1.10226	1.7232	1.70323	1.24233	1.10959	1.13102	1.57204	1.10184	1.28681	1.35654	1.69268	1.085	1.25959	0.87324	1.48405	1.49997	1.15676	1.29318	1.05441	1.14318	1.47314	0.95658	1.11487	1.14308	1.81254	1.73248	1.46136	0.85207	1.36663	1.08268	0.99536	1.03908	1.28939	1.21393	0.97282	1.28987	1.40878	1.34353	1.61194
17	1.1386	1.8111	1.11918	0.98565	1.68919	0.95404	1.09471	1.49652	1.35273	0.98182	1.03334	1.11364	1.54679	1.23553	0.88936	1.31833	1.77349	1.03627	1.85974	1.13908	1.36076	1.17244	0.901	1.40977	1.31572	1.18284	1.02085	0.80695	2.05858	1.68347	1.38311	1.49676	1.63073	1.14042	1.14729	1.28389	1.68519	1.12088	1.61741	1.2247	0.98381	1.13242	1.582	2.04352	1.11167	1.38711	1.22335	0.95094	1.59451	1.35556	1.06803	1.5527	1.46161	1.35688	1.16617	1.12121	1.31396	1.69528	1.28105	1.06308	1.37722	1.18001	1.7824	1.71683	1.07676	1.10131	1.14231	1.58687	1.1743	1.24684	1.40533	1.73178	1.00249	1.36377	0.8582	1.51876	1.44145	1.02586	1.35708	1.02347	1.05489	1.3546	0.96049	1.03146	1.09977	1.84616	1.83542	1.54307	0.77244	1.27366	1.14563	0.81506	1.0506	1.44784	1.21772	0.91266	1.41133	1.2845	1.26887	1.59815
18	1.16841	1.94896	1.27422	1.03125	1.80623	0.92643	1.21836	1.48952	1.40835	1.01553	0.97754	1.09058	1.56978	1.28	1.07967	1.36191	1.7149	1.08603	1.85729	1.07	1.4475	1.13757	1.00623	1.56458	1.22571	1.13531	1.02541	0.87147	2.04188	1.67247	1.47436	1.44061	1.61639	1.19432	1.17411	1.26842	1.80682	1.04371	1.60809	1.18481	1.12991	1.13793	1.58205	1.99256	0.90286	1.26991	1.27952	1.00434	1.68752	1.28388	1.08052	1.52187	1.57135	1.38028	1.24997	1.2122	1.43506	1.7125	1.2933	1.03547	1.50604	1.244	1.78833	1.61177	1.24499	1.20583	1.04539	1.55685	1.26242	1.22923	1.3365	1.80636	1.12452	1.3027	0.82736	1.47057	1.57907	1.22566	1.29529	1.03202	1.22307	1.46013	0.99337	1.11231	1.10528	1.82894	1.83056	1.46648	0.82382	1.44492	1.10305	0.92948	1.03011	1.3396	1.29871	0.94148	1.28742	1.36767	1.3674	1.61767
