gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29	gene30	gene31	gene32	gene33	gene34	gene35	gene36	gene37	gene38	gene39	gene40	gene41	gene42	gene43	gene44	gene45	gene46	gene47	gene48	gene49	gene50	gene51	gene52	gene53	gene54	gene55	gene56	gene57	gene58	gene59	gene60	gene61	gene62	gene63	gene64	gene65	gene66	gene67	gene68	gene69	gene70	gene71	gene72	gene73	gene74	gene75	gene76	gene77	gene78	gene79	gene80	gene81	gene82	gene83	gene84	gene85	gene86	gene87	gene88	gene89	gene90	gene91	gene92	gene93	gene94	gene95	gene96	gene97	gene98	gene99	gene100
0	1.02763	2.09777	1.06114	1.13404	1.59851	0.96167	0.96922	1.42901	1.56846	0.85428	1.13684	1.09283	1.40096	1.35645	1.00116	1.37495	1.56501	1.11893	2.03935	1.04647	1.37108	1.04888	1.13091	1.62234	1.09372	1.13056	1.20343	1.01181	1.96369	1.57135	1.53824	1.40533	1.6815	1.28328	1.2108	1.40741	1.62579	1.21497	1.52129	1.30603	1.234	1.08591	1.48012	2.08021	0.85344	1.2598	1.4568	1.06124	1.49059	1.30803	1.07544	1.44495	1.41578	1.32208	1.35908	1.16138	1.50885	1.71522	1.25731	1.12535	1.40217	1.12515	1.67156	1.63388	1.11936	1.1342	1.22449	1.6076	1.03005	1.26713	1.51299	1.60751	1.12014	1.37217	1.00512	1.36535	1.41409	1.31464	1.17598	1.09895	1.22647	1.51936	1.00316	1.14078	1.08829	1.73709	1.71242	1.58756	0.99195	1.26423	1.14369	1.04008	1.09775	1.25491	1.19882	1.00282	1.44831	1.40553	1.28887	1.80735
2	1.00393	2.08504	1.00376	1.19267	1.62344	0.91082	0.97134	1.44435	1.56305	0.86576	1.06613	1.05369	1.39766	1.39182	1.06614	1.45475	1.56316	1.12239	1.99562	1.11619	1.41312	1.05464	1.10907	1.65899	1.22383	1.11726	1.18362	1.01511	1.96522	1.56173	1.48021	1.43933	1.74363	1.20892	1.15743	1.40255	1.66573	1.20793	1.50668	1.33732	1.23061	1.0358	1.50843	2.06242	0.83991	1.17029	1.49278	1.01139	1.53581	1.24651	1.12369	1.37639	1.4552	1.30712	1.42908	1.19621	1.48261	1.74979	1.31298	1.22525	1.42537	1.18102	1.68744	1.57835	1.15661	1.03904	1.20938	1.60157	1.03552	1.3171	1.47022	1.63201	1.16201	1.28459	0.93752	1.3712	1.48432	1.34452	1.2337	1.07397	1.16426	1.52924	1.00857	1.17269	1.13189	1.68594	1.69211	1.60978	0.94491	1.29844	1.10776	1.001	1.08952	1.26587	1.20455	1.03104	1.35348	1.42177	1.29981	1.75776
4	1.05423	2.06028	1.03043	1.13523	1.73591	0.94101	0.97265	1.37728	1.46219	0.88881	1.11908	1.09292	1.39392	1.32404	1.06041	1.4065	1.50824	1.09669	1.89828	1.1132	1.48643	1.08681	1.06618	1.73242	1.26188	1.16212	1.19485	0.91985	1.88789	1.52539	1.44611	1.41488	1.81399	1.24505	1.22879	1.37799	1.62163	1.23713	1.51139	1.3583	1.1964	1.07872	1.55636	2.02419	0.92397	1.15031	1.51053	1.04878	1.54935	1.28697	1.16326	1.3698	1.43303	1.31806	1.45462	1.21926	1.52243	1.81516	1.27645	1.24114	1.3614	1.14458	1.59606	1.61684	1.15999	1.01437	1.20088	1.58726	1.03275	1.37404	1.39146	1.67848	1.12372	1.30297	0.89556	1.42193	1.43475	1.32468	1.26186	1.13295	1.16977	1.50445	1.02732	1.18334	1.13514	1.77325	1.71724	1.57778	1.04521	1.25084	1.06876	1.02911	1.10967	1.3075	1.16395	1.01364	1.36583	1.47401	1.37606	1.75222
5	1.08496	2.05712	1.00905	1.10706	1.72979	0.87349	0.98421	1.4331	1.40826	0.87617	1.11738	1.05324	1.39267	1.31695	0.98549	1.45816	1.51211	1.11834	1.86159	1.134	1.46098	1.05833	1.04683	1.71675	1.23409	1.12148	1.23324	0.89093	1.88755	1.49541	1.49533	1.41195	1.8501	1.23299	1.20735	1.40389	1.66758	1.25421	1.51635	1.38095	1.16537	1.02315	1.52078	1.98629	0.90119	1.1287	1.57403	1.0275	1.57843	1.32227	1.15184	1.40859	1.40965	1.32914	1.46527	1.18785	1.51174	1.82362	1.30228	1.25227	1.33815	1.16522	1.63413	1.59158	1.17793	0.97278	1.15603	1.57117	1.03719	1.4133	1.43657	1.67522	1.10233	1.28252	0.8622	1.42799	1.43528	1.35905	1.24891	1.07258	1.16367	1.50433	1.04573	1.19229	1.13409	1.78792	1.74928	1.57047	1.03444	1.2362	1.04746	1.02703	1.10736	1.32663	1.18063	1.00892	1.26891	1.47369	1.3614	1.76584
6	1.09856	2.04947	1.01253	1.06253	1.73175	0.86163	1.00038	1.48958	1.33966	0.86359	1.20372	1.14739	1.43608	1.36314	0.96718	1.44634	1.5269	1.20471	1.83944	1.05019	1.44432	1.05176	0.98376	1.71445	1.1678	1.11481	1.24443	0.87948	1.83397	1.56081	1.42529	1.35781	1.94374	1.15536	1.22599	1.43919	1.68156	1.08468	1.52118	1.41467	1.15791	0.94505	1.49976	1.8947	0.80247	1.08142	1.62208	1.00624	1.55934	1.2693	1.09023	1.32241	1.38843	1.38064	1.51692	1.17764	1.51375	1.80652	1.33896	1.32234	1.33171	1.08778	1.64597	1.66236	1.28313	0.86758	1.13878	1.64479	1.04642	1.45791	1.46772	1.70295	1.02311	1.24626	0.82761	1.35384	1.4108	1.31212	1.13701	1.0899	1.11408	1.46138	1.02295	1.22583	1.09588	1.79918	1.7979	1.57207	0.96228	1.32473	1.01195	1.07989	1.13289	1.35179	1.24183	1.02115	1.1918	1.46509	1.30243	1.72046
10	1.1636	2.00409	1.25558	1.1767	1.91078	0.93839	1.06843	1.55352	1.45915	0.95919	0.93096	1.10967	1.4231	1.24744	1.05441	1.49954	1.5389	1.06265	1.8411	1.2013	1.39968	1.05358	1.10143	1.78623	1.31729	1.22078	1.15515	0.7554	1.88191	1.66521	1.38251	1.53343	1.67094	1.18612	1.24227	1.39887	1.58365	1.13136	1.60968	1.3128	1.17198	0.92042	1.60658	1.86187	0.89927	1.15097	1.43755	0.99371	1.49261	1.25266	1.22155	1.55462	1.42593	1.31889	1.14411	1.15192	1.29362	1.92247	1.34878	1.32646	1.41952	1.2424	1.50238	1.72772	1.3404	0.98337	1.32838	1.55751	1.1758	1.39407	1.37782	1.6227	0.93734	1.14279	0.79937	1.51461	1.39585	1.26755	1.23111	1.04576	0.907	1.5128	0.96707	1.0778	1.20968	1.73698	1.81362	1.41839	0.89135	1.36953	1.24387	1.04548	0.85995	1.31903	1.17466	0.88651	1.27883	1.40949	1.17851	1.64995
12	1.19861	1.91768	1.24863	1.02363	1.70081	0.94546	1.0852	1.53949	1.45086	1.12206	1.16651	1.03092	1.43755	1.34886	1.10409	1.51901	1.49429	0.98656	1.7635	1.23278	1.58324	1.0998	1.26356	1.63542	1.37114	1.33224	1.09604	0.81069	1.88911	1.65365	1.47601	1.49193	1.69972	1.26106	1.20856	1.38419	1.65832	1.02753	1.5724	1.38166	1.19405	0.89836	1.64418	1.86358	0.99143	1.28957	1.54174	1.16329	1.60207	1.39323	1.14019	1.57271	1.5633	1.23643	1.32087	1.04139	1.39477	1.76637	1.49102	1.10681	1.59584	1.12205	1.52646	1.60455	1.19856	1.04403	1.11142	1.45782	1.07044	1.28291	1.4261	1.82304	1.18121	1.23345	0.96083	1.46456	1.53466	1.23423	1.28813	1.11724	1.06834	1.65261	0.99507	1.10817	1.14561	1.83237	1.92125	1.60476	0.94376	1.29841	1.1414	1.0841	0.96056	1.29348	1.23551	0.98675	1.32156	1.43981	1.34333	1.62914
13	1.07167	1.93251	1.25055	1.07729	1.77687	0.95162	1.09399	1.56792	1.46947	1.094	1.04941	1.17789	1.49527	1.31087	0.95903	1.37458	1.61357	1.18833	1.90122	1.23193	1.45351	1.0398	1.17246	1.6186	1.34531	1.16575	1.09518	0.92124	1.8867	1.64748	1.45184	1.35295	1.75273	1.30274	1.22974	1.44181	1.69065	1.01958	1.59838	1.26332	1.09063	0.94108	1.55726	1.95522	1.09894	1.26267	1.40433	1.01417	1.58774	1.35671	1.12178	1.48842	1.42153	1.28984	1.23613	1.06041	1.35004	1.80758	1.3644	1.17215	1.46916	1.1815	1.63758	1.68748	1.17017	1.05313	1.2459	1.58837	1.09264	1.32882	1.35788	1.77575	1.03638	1.2859	0.94622	1.57603	1.46236	1.23888	1.34485	1.10059	1.18436	1.45306	0.99038	1.07688	1.07783	1.77399	1.76064	1.52804	0.89851	1.37532	1.10523	0.9845	0.98935	1.36748	1.18834	1.0203	1.39167	1.48707	1.28543	1.65857
16	1.0359	1.95656	1.18794	1.10736	1.72795	0.93195	1.06973	1.51051	1.46318	1.06406	1.04499	1.13934	1.478	1.24555	1.04052	1.27834	1.58295	1.13072	1.80156	1.11586	1.49569	1.09155	1.06734	1.49158	1.281	1.15277	1.03252	0.86174	1.86205	1.66847	1.4738	1.39275	1.66606	1.20295	1.16075	1.28908	1.69914	1.05657	1.70623	1.26376	1.03587	0.98291	1.56744	1.98353	1.00244	1.25235	1.43414	1.07541	1.62082	1.29437	1.09667	1.49836	1.44946	1.34115	1.27296	1.02851	1.38678	1.7775	1.33966	1.05197	1.54962	1.20158	1.74424	1.70037	1.2592	1.1304	1.15859	1.63015	1.09337	1.41103	1.34033	1.80817	1.11684	1.20404	0.99203	1.41346	1.57096	1.23733	1.24678	1.05859	1.14984	1.51199	0.95886	1.15537	1.10644	1.72612	1.78	1.40598	0.83576	1.43935	1.02627	1.04891	1.0265	1.29353	1.29402	0.97576	1.3168	1.46566	1.39233	1.64891
19	1.1255	1.95238	1.17906	1.06593	1.70207	1.05696	0.98229	1.47524	1.47696	1.07603	1.11982	1.14344	1.39967	1.17253	1.06055	1.2839	1.63022	1.13823	1.921	1.16042	1.43187	1.09541	1.0681	1.56698	1.29628	1.25441	1.08228	0.90669	1.90418	1.66066	1.57429	1.39755	1.7131	1.26832	1.12953	1.2879	1.72032	1.15727	1.65183	1.21296	1.03389	1.00784	1.51551	1.96588	1.00427	1.19598	1.37065	1.06286	1.63582	1.28667	1.09879	1.45905	1.52455	1.29314	1.29699	1.063	1.44882	1.77207	1.30914	1.03973	1.51987	1.34099	1.71434	1.74822	1.20515	1.25689	1.1277	1.61181	1.1932	1.30425	1.40716	1.86296	1.21904	1.18494	0.98476	1.38152	1.58424	1.19846	1.18669	1.02163	1.25413	1.48626	0.99115	1.09616	1.07991	1.68043	1.84974	1.45926	0.84853	1.47763	1.09936	1.02333	1.04423	1.33524	1.30677	1.02863	1.30761	1.37975	1.43659	1.56205
