gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29	gene30	gene31	gene32	gene33	gene34	gene35	gene36	gene37	gene38	gene39	gene40	gene41	gene42	gene43	gene44	gene45	gene46	gene47	gene48	gene49	gene50	gene51	gene52	gene53	gene54	gene55	gene56	gene57	gene58	gene59	gene60	gene61	gene62	gene63	gene64	gene65	gene66	gene67	gene68	gene69	gene70	gene71	gene72	gene73	gene74	gene75	gene76	gene77	gene78	gene79	gene80	gene81	gene82	gene83	gene84	gene85	gene86	gene87	gene88	gene89	gene90	gene91	gene92	gene93	gene94	gene95	gene96	gene97	gene98	gene99	gene100
1	1.00947	2.12141	1.098	1.17949	1.59158	0.93965	0.96118	1.36975	1.52392	0.84402	1.16651	1.11991	1.37117	1.34001	1.00171	1.38489	1.53246	1.17611	1.92284	1.00761	1.39081	1.08815	1.10849	1.61508	1.12091	1.14733	1.19588	0.95843	1.97416	1.6308	1.55007	1.42661	1.71221	1.28675	1.20048	1.34897	1.63666	1.21685	1.51097	1.24424	1.10317	1.08235	1.54473	2.0411	0.99078	1.24676	1.43732	1.06611	1.59112	1.30251	1.08989	1.39465	1.49026	1.4316	1.41277	1.19146	1.4922	1.66497	1.23985	1.21717	1.41292	1.11989	1.64186	1.65577	1.11829	1.18288	1.15732	1.62553	1.06602	1.21757	1.53305	1.62703	1.15851	1.34509	1.03687	1.34338	1.4219	1.30884	1.20002	0.99147	1.23289	1.49605	0.986	1.07486	1.08414	1.6753	1.67228	1.49393	0.94388	1.33695	1.1668	1.0334	1.06841	1.26258	1.24227	1.01096	1.45785	1.42442	1.28713	1.78933
8	1.07921	2.00232	1.20881	1.10229	1.77141	0.92536	1.22119	1.47533	1.47775	0.86076	1.04527	1.21505	1.37397	1.27353	0.92979	1.42701	1.37185	1.21434	1.80827	1.17559	1.26577	1.13828	1.16594	1.65184	1.19573	1.17057	1.15098	0.71938	2.03491	1.69667	1.42731	1.3572	1.64113	1.12589	1.25242	1.44425	1.5678	1.11708	1.52114	1.33091	1.11028	1.02643	1.54772	1.93816	0.92357	1.04726	1.37728	1.01571	1.7035	1.14065	1.05638	1.6105	1.47316	1.23164	1.28535	1.11179	1.35992	1.66317	1.27493	1.1931	1.51166	1.18406	1.65641	1.7952	1.26219	1.04003	1.18971	1.54836	1.30175	1.33888	1.36239	1.68217	1.16767	1.12088	0.7456	1.45647	1.39345	1.28094	1.32793	1.06674	1.23057	1.54746	1.05169	1.03239	1.11397	1.75501	1.78101	1.46505	1.04674	1.46672	1.3419	0.93529	1.05255	1.2608	1.21452	0.90565	1.47715	1.55609	1.30616	1.80982
9	1.05387	1.87516	1.27544	1.14867	1.82799	0.88929	1.2279	1.46558	1.41282	0.84373	1.06668	1.0824	1.37068	1.16233	0.86091	1.41578	1.2801	1.22419	1.77012	1.10973	1.24977	1.12693	1.15872	1.71994	1.26984	1.34191	1.01213	0.85975	1.97045	1.63585	1.38059	1.35467	1.57159	1.18451	1.28063	1.41425	1.58401	1.00217	1.51844	1.29397	1.06025	0.97962	1.48843	1.98548	0.91249	1.12824	1.3564	0.95148	1.77564	1.26279	1.07534	1.4585	1.41624	1.32544	1.31885	1.10348	1.42647	1.69781	1.28258	1.25206	1.48798	1.16446	1.65995	1.6662	1.20107	1.08458	1.14669	1.6343	1.18161	1.39759	1.32732	1.73265	1.21359	1.22127	0.82641	1.51195	1.42522	1.23112	1.17728	1.06624	1.25813	1.53055	1.03019	1.01768	1.10805	1.75035	1.76409	1.48986	0.96629	1.40542	1.30877	0.99139	1.00578	1.31966	1.15259	0.89247	1.41648	1.52568	1.28938	1.69985
10	1.15117	1.97093	1.27613	1.18349	1.93215	0.91391	1.14697	1.54132	1.46739	0.88274	0.93332	1.14807	1.37935	1.21361	0.99098	1.47629	1.4509	1.12953	1.83653	1.18106	1.29543	1.07012	1.11607	1.76536	1.31598	1.22985	1.13069	0.72913	1.9391	1.68923	1.3499	1.49381	1.61492	1.15821	1.24828	1.41878	1.56247	1.10011	1.59135	1.30388	1.13347	0.95944	1.56343	1.89186	0.90395	1.11289	1.39955	0.95045	1.59448	1.2187	1.17258	1.56962	1.43898	1.29714	1.1325	1.11751	1.28606	1.86144	1.29352	1.34969	1.42696	1.21908	1.55887	1.7706	1.33274	1.01206	1.30924	1.5801	1.23512	1.39173	1.36652	1.61901	0.99898	1.1194	0.75764	1.53822	1.38247	1.24118	1.25115	1.02508	0.99703	1.48654	0.96519	1.03242	1.16995	1.73953	1.80684	1.38614	0.92061	1.42261	1.31619	1.01267	0.91897	1.29914	1.14894	0.86905	1.35922	1.44278	1.18458	1.69652
13	1.09057	1.91515	1.23088	1.07393	1.80979	0.93626	1.13753	1.5538	1.48185	1.03749	1.03871	1.18706	1.48371	1.28685	0.92579	1.37766	1.57599	1.2271	1.91805	1.21754	1.38038	1.05167	1.16536	1.59609	1.35299	1.15258	1.07887	0.89627	1.92271	1.64352	1.4038	1.36023	1.7183	1.28539	1.25173	1.44121	1.66929	1.01872	1.58999	1.24245	1.0745	0.97522	1.51555	1.97675	1.09043	1.22776	1.37713	0.95441	1.6347	1.33553	1.11495	1.50008	1.43342	1.29065	1.19359	1.06734	1.33138	1.79366	1.30917	1.2128	1.427	1.17073	1.67156	1.69267	1.16542	1.05913	1.25879	1.59643	1.14416	1.33403	1.34745	1.7434	1.03549	1.27684	0.88827	1.58328	1.43418	1.23508	1.36731	1.07807	1.21207	1.42757	0.97722	1.05279	1.07264	1.77516	1.77948	1.50138	0.90375	1.38165	1.16659	0.97732	1.0224	1.3682	1.15517	1.00202	1.42754	1.48191	1.27319	1.70963
16	1.07966	1.92979	1.16188	1.07519	1.72784	0.93726	1.10855	1.50936	1.46478	1.0381	1.05841	1.13492	1.51393	1.25302	1.04653	1.27379	1.63642	1.12734	1.82898	1.08249	1.45249	1.09286	1.01633	1.43132	1.28762	1.12831	1.00703	0.87053	1.90319	1.646	1.43291	1.42436	1.62868	1.18565	1.16971	1.25428	1.70945	1.06323	1.7002	1.23987	1.03371	1.02917	1.54435	2.0165	1.00764	1.25908	1.3566	1.02838	1.62479	1.30495	1.1003	1.51143	1.47748	1.36461	1.22446	1.04781	1.36079	1.77268	1.293	1.04401	1.49578	1.20766	1.79908	1.67725	1.23157	1.14012	1.16166	1.62529	1.14957	1.38096	1.32373	1.80756	1.10366	1.24642	0.9468	1.42357	1.55796	1.20362	1.28794	1.03879	1.1463	1.48609	0.94488	1.13337	1.09875	1.74235	1.82094	1.4107	0.81253	1.42587	1.05552	1.00036	1.03541	1.34015	1.2835	0.95098	1.33661	1.44125	1.37896	1.66972
17	1.16725	1.80632	1.10366	1.00024	1.63599	1.00128	1.04738	1.49508	1.44265	0.99324	1.09209	1.1515	1.52141	1.22263	0.99041	1.23799	1.76045	1.06263	1.93057	1.10786	1.31306	1.15696	0.83219	1.29432	1.31304	1.19789	1.03964	0.86024	1.98926	1.64023	1.42254	1.50242	1.60738	1.12692	1.13185	1.2384	1.68704	1.14918	1.66519	1.22354	0.94462	1.1285	1.53356	2.04181	1.13309	1.37462	1.19738	0.96724	1.54214	1.3489	1.0677	1.55398	1.46399	1.37384	1.14151	1.05661	1.29834	1.73599	1.26464	1.05861	1.35166	1.27299	1.80861	1.72317	1.05935	1.18726	1.1625	1.62084	1.19168	1.29887	1.42294	1.81161	1.04064	1.34415	0.89945	1.50165	1.47817	1.06706	1.34643	0.98943	1.06746	1.37376	0.96042	1.03799	1.05342	1.76976	1.84594	1.52132	0.7491	1.35931	1.14853	0.79789	1.03647	1.47994	1.24209	0.91357	1.41475	1.28863	1.30809	1.57316
18	1.18028	1.93884	1.26068	1.05239	1.74859	0.9802	1.16361	1.49315	1.50769	1.0295	1.0449	1.12893	1.53951	1.2603	1.14949	1.29651	1.6923	1.11221	1.92135	1.04846	1.40984	1.11625	0.96295	1.46377	1.23331	1.15592	1.05083	0.91604	1.96871	1.63998	1.52497	1.43497	1.61863	1.19291	1.15225	1.23161	1.79107	1.06845	1.65034	1.19339	1.08922	1.11661	1.54413	1.993	0.94557	1.25535	1.26361	1.01475	1.62972	1.27472	1.08659	1.51968	1.57036	1.38795	1.23459	1.1348	1.41913	1.74863	1.27359	1.04071	1.4857	1.31815	1.80343	1.63144	1.22664	1.27272	1.09033	1.58965	1.25842	1.29144	1.36151	1.87611	1.16537	1.28236	0.87788	1.45751	1.60311	1.25779	1.28921	1.00663	1.23314	1.48293	0.98789	1.11141	1.07205	1.75648	1.83769	1.44498	0.80371	1.52155	1.09178	0.92747	1.02275	1.37092	1.30549	0.95488	1.30006	1.38175	1.38572	1.59974
19	1.1565	1.92844	1.15768	1.05153	1.69377	1.05892	1.02719	1.47567	1.47246	1.05457	1.11737	1.12901	1.44141	1.19312	1.08012	1.27818	1.69197	1.12481	1.9345	1.11384	1.39723	1.08638	1.01768	1.51906	1.29772	1.22465	1.06095	0.92639	1.93484	1.64592	1.53033	1.4271	1.68062	1.24629	1.13229	1.24718	1.72525	1.15178	1.64218	1.20264	1.02964	1.04309	1.50583	1.99206	1.00397	1.21272	1.28956	1.0238	1.63367	1.29231	1.1026	1.46447	1.54928	1.3186	1.2574	1.06979	1.41226	1.7735	1.27147	1.02723	1.4728	1.33913	1.76624	1.73029	1.19905	1.26195	1.13773	1.59676	1.23405	1.28197	1.38824	1.86527	1.19986	1.2279	0.93952	1.39987	1.57416	1.1733	1.23303	1.00844	1.24347	1.46869	0.97826	1.08545	1.08188	1.71036	1.87974	1.46586	0.82879	1.46505	1.1151	0.97121	1.04224	1.38069	1.29578	0.99707	1.32055	1.37458	1.42236	1.57579
21	1.10801	1.91518	1.26462	1.15764	1.68851	0.98832	1.03738	1.47084	1.50141	1.13786	1.05907	1.16537	1.44146	1.20771	0.98481	1.2344	1.72153	1.1163	1.88552	1.14519	1.36409	1.03098	1.03342	1.46119	1.22646	1.16499	1.04072	0.85667	1.92221	1.67506	1.54142	1.44011	1.6674	1.15501	1.20285	1.27062	1.70082	1.13509	1.57045	1.213	1.02774	1.04266	1.50079	1.96762	0.98741	1.21148	1.36232	0.98902	1.62113	1.25093	1.068	1.45619	1.55331	1.345	1.30332	1.0936	1.41665	1.70667	1.25147	1.00109	1.47807	1.28594	1.75033	1.71365	1.25217	1.26838	1.18963	1.55078	1.18296	1.3612	1.39948	1.86562	1.11661	1.24983	0.84676	1.38819	1.53705	1.22586	1.33842	1.02813	1.22655	1.44088	1.05486	1.15451	1.02719	1.69854	1.81847	1.48475	0.82842	1.42765	1.1963	0.93044	1.02997	1.44823	1.25938	1.04376	1.34404	1.37166	1.41955	1.62552
