Component1	Component2	Component3	Component4	Component5	Component6	Component7	Component8	Component9	Component10
0	0.04145	0.02032	0.04538	0.01943	-0.02409	-0.04968	-0.01651	0.0275	0.00382	0.01463
2	0.0412	0.01992	0.04445	0.01859	-0.02389	-0.04771	-0.01495	0.02582	0.00371	0.01486
3	0.04108	0.01974	0.04402	0.01821	-0.02378	-0.04682	-0.01427	0.02507	0.00367	0.01493
4	0.04092	0.01942	0.04335	0.01761	-0.02377	-0.04552	-0.01308	0.02399	0.00363	0.01534
5	0.04076	0.01901	0.04256	0.01691	-0.02386	-0.0441	-0.01164	0.02281	0.00354	0.01596
6	0.04067	0.01889	0.04226	0.01664	-0.02375	-0.04345	-0.0112	0.02228	0.00349	0.01592
7	0.0402	0.01768	0.03996	0.01472	-0.02403	-0.03944	-0.00718	0.01899	0.00288	0.01741
11	0.03833	0.01162	0.02926	0.00663	-0.02666	-0.02269	0.01072	0.00566	-0.00227	0.02399
12	0.03803	0.0106	0.02753	0.00548	-0.02708	-0.02023	0.01325	0.00385	-0.00329	0.02461
14	0.03748	0.00896	0.02466	0.00373	-0.02747	-0.01622	0.01686	0.00106	-0.00499	0.02484
15	0.03721	0.00822	0.02333	0.00295	-0.02756	-0.0144	0.01837	-0.00014	-0.00575	0.0247
20	0.03369	-0.00305	0.00421	-0.00281	-0.02852	0.00718	0.02984	-0.01095	-0.02348	0.01442
24	0.03164	-0.00946	-0.00628	-0.00268	-0.02752	0.01547	0.02823	-0.01158	-0.03118	0.0061
26	0.03084	-0.012	-0.01029	-0.00178	-0.02679	0.0177	0.02564	-0.01044	-0.03292	0.00311
30	0.02916	-0.01826	-0.02001	0.0026	-0.02508	0.0216	0.01529	-0.00466	-0.03458	-0.0014
31	0.02868	-0.02011	-0.02283	0.00452	-0.02432	0.02214	0.01078	-0.00192	-0.03327	-0.00172
32	0.02851	-0.02065	-0.02363	0.00509	-0.02401	0.02218	0.00939	-0.00112	-0.03267	-0.00181
33	0.02828	-0.02152	-0.02495	0.00614	-0.02357	0.02229	0.00689	0.00044	-0.03149	-0.00165
34	0.02775	-0.02325	-0.02752	0.00831	-0.0224	0.02217	0.00153	0.00373	-0.0281	-0.00113
