Component1	Component2	Component3	Component4	Component5	Component6	Component7	Component8	Component9	Component10
1	-0.0185	-0.04267	0.04708	-0.02341	-0.02059	-0.04376	0.00183	0.02904	-0.00035	0.00899
3	-0.01836	-0.04262	0.04683	-0.02309	-0.02072	-0.04323	0.0014	0.02867	1e-05	0.00848
7	-0.01431	-0.04152	0.04045	-0.01483	-0.02534	-0.03031	-0.01054	0.02061	0.0094	-0.00451
8	-0.01305	-0.04119	0.0385	-0.01252	-0.02667	-0.02667	-0.01382	0.01847	0.01148	-0.00773
9	-0.01241	-0.04101	0.03751	-0.01141	-0.02731	-0.02492	-0.01535	0.01748	0.01229	-0.00911
11	-0.01111	-0.04061	0.03541	-0.00923	-0.02836	-0.02127	-0.01814	0.01534	0.01338	-0.01158
14	-0.00894	-0.03984	0.03179	-0.00593	-0.02958	-0.01537	-0.02184	0.01183	0.01369	-0.01447
15	-0.00792	-0.03946	0.03003	-0.00466	-0.02995	-0.01275	-0.02302	0.01032	0.01288	-0.01529
17	-0.00727	-0.03925	0.02898	-0.00381	-0.0303	-0.01114	-0.02397	0.00941	0.01266	-0.01594
18	-0.00511	-0.03846	0.02522	-0.0022	-0.0306	-0.00637	-0.02482	0.007	0.0083	-0.01622
21	0.00917	-0.0329	4e-05	0.00581	-0.03014	0.02259	-0.02501	-0.00698	-0.02506	-0.01342
22	0.01341	-0.03126	-0.00741	0.00764	-0.02984	0.0306	-0.02434	-0.01053	-0.03505	-0.01243
25	0.01594	-0.03038	-0.01151	0.0066	-0.02918	0.03221	-0.02149	-0.00976	-0.03885	-0.0116
26	0.01725	-0.0299	-0.01357	0.00575	-0.02863	0.03243	-0.01955	-0.00889	-0.04004	-0.01108
27	0.01796	-0.0296	-0.01467	0.00516	-0.02816	0.03225	-0.01824	-0.00823	-0.04014	-0.01072
28	0.01872	-0.02927	-0.01587	0.00461	-0.02768	0.03217	-0.01694	-0.00763	-0.0404	-0.0103
29	0.02009	-0.02873	-0.01799	0.0032	-0.02676	0.03155	-0.0141	-0.00601	-0.04027	-0.00984
33	0.02569	-0.02648	-0.02661	-0.00424	-0.02221	0.02671	0.00011	0.00299	-0.03527	-0.00935
37	0.03095	-0.02441	-0.0345	-0.01492	-0.01646	0.01739	0.01879	0.01637	-0.01941	-0.01391
40	0.03388	-0.0234	-0.03879	-0.02251	-0.01302	0.01056	0.03107	0.02558	-0.00637	-0.01959
41	0.03498	-0.02302	-0.0404	-0.02544	-0.01169	0.0079	0.0358	0.02914	-0.00119	-0.02185
42	0.03562	-0.02273	-0.04126	-0.02715	-0.01073	0.00606	0.0385	0.03106	0.00235	-0.02301
46	0.03722	-0.02207	-0.04349	-0.03163	-0.00839	0.00143	0.04569	0.03638	0.01161	-0.02646
