Component1	Component2	Component3	Component4	Component5	Component6	Component7	Component8	Component9	Component10
0	0.0343	-0.03501	0.04375	-0.01655	0.003	-0.03468	0.04107	-0.02856	-0.02522	-0.00463
2	0.03418	-0.03429	0.04265	-0.01626	0.00191	-0.03342	0.03769	-0.02622	-0.02469	-0.00538
4	0.03417	-0.03325	0.04128	-0.01615	8e-05	-0.03231	0.03316	-0.02349	-0.0252	-0.00684
5	0.03418	-0.033	0.04097	-0.01615	-0.00039	-0.0321	0.03207	-0.02287	-0.02543	-0.00727
6	0.03414	-0.03219	0.03986	-0.01601	-0.00171	-0.03111	0.02863	-0.02073	-0.02554	-0.00811
10	0.03392	-0.02569	0.03105	-0.01559	-0.01082	-0.02336	0.00461	-0.00573	-0.02558	-0.00782
12	0.034	-0.02354	0.02828	-0.01587	-0.01368	-0.02123	-0.00237	-0.00151	-0.02628	-0.00618
13	0.03396	-0.0207	0.02451	-0.01607	-0.01654	-0.0181	-0.00991	0.00305	-0.02574	-0.00264
16	0.03391	-0.01534	0.01749	-0.01663	-0.02128	-0.01246	-0.02239	0.01042	-0.02457	0.00481
19	0.03384	-0.01146	0.01248	-0.01716	-0.02357	-0.00853	-0.02867	0.01388	-0.023	0.01079
20	0.03381	-0.00966	0.01016	-0.01746	-0.02428	-0.00674	-0.03074	0.01491	-0.0221	0.01358
23	0.03365	-0.00561	0.00499	-0.01819	-0.02454	-0.00281	-0.03228	0.01516	-0.01927	0.01902
24	0.03356	-0.00348	0.00226	-0.01864	-0.02439	-7e-04	-0.03243	0.01485	-0.01766	0.02162
30	0.03329	0.01106	-0.0168	-0.02435	-0.0179	0.01516	-0.02003	0.00388	-0.00716	0.02981
31	0.03332	0.01303	-0.01939	-0.02553	-0.01624	0.01737	-0.01642	0.00123	-0.00622	0.02879
32	0.03332	0.01466	-0.0215	-0.02649	-0.01467	0.01911	-0.01302	-0.00116	-0.00551	0.02724
34	0.03335	0.01658	-0.02402	-0.02771	-0.01278	0.02124	-0.00888	-0.00409	-0.0047	0.0253
35	0.03331	0.01837	-0.02631	-0.02869	-0.01066	0.02301	-0.00436	-0.00707	-0.00397	0.02218
36	0.03322	0.01999	-0.02831	-0.02944	-0.00849	0.02443	0.00014	-0.00988	-0.00333	0.0184
38	0.03307	0.02277	-0.03176	-0.03077	-0.00469	0.02686	0.00808	-0.01484	-0.00228	0.01152
39	0.03296	0.02443	-0.03378	-0.03149	-0.00227	0.02822	0.01308	-0.01791	-0.00166	0.00676
43	0.03281	0.02841	-0.03883	-0.03387	0.00392	0.0321	0.02648	-0.02663	-0.00061	-0.00709
44	0.03282	0.02913	-0.03978	-0.03443	0.00508	0.03294	0.0291	-0.02843	-0.00049	-0.00989
45	0.03275	0.02927	-0.03988	-0.0343	0.00539	0.0328	0.02956	-0.0285	-0.00046	-0.01056
50	0.034	-0.03459	0.04282	-0.01596	0.00277	-0.03304	0.03883	-0.02651	-0.0232	-0.00432
55	0.034	-0.03202	0.03948	-0.01574	-0.00173	-0.03043	0.02786	-0.02001	-0.0246	-0.0079
56	0.03397	-0.03123	0.03842	-0.01564	-0.00295	-0.02953	0.02471	-0.01809	-0.02471	-0.00849
58	0.03389	-0.02969	0.0363	-0.01542	-0.00523	-0.02759	0.01863	-0.01427	-0.02463	-0.00906
65	0.03369	-0.01815	0.02099	-0.01573	-0.01863	-0.01489	-0.01628	0.00695	-0.02382	-9e-05
66	0.03375	-0.01542	0.0175	-0.01622	-0.02097	-0.01225	-0.02215	0.01032	-0.02361	0.00409
69	0.03375	-0.0116	0.01262	-0.01689	-0.02339	-0.00856	-0.02846	0.01377	-0.02256	0.01018
70	0.03371	-0.0097	0.01018	-0.0172	-0.02411	-0.00669	-0.03057	0.01481	-0.02157	0.0131
71	0.03369	-0.00861	0.0088	-0.01743	-0.02425	-0.00568	-0.0311	0.01495	-0.02095	0.01471
72	0.03363	-0.00712	0.00692	-0.01769	-0.02436	-0.00428	-0.03168	0.01505	-0.01994	0.01668
73	0.03353	-0.00533	0.00463	-0.01794	-0.02438	-0.00254	-0.03221	0.01507	-0.01854	0.01892
76	0.03316	0.001	-0.00348	-0.01917	-0.023	0.00373	-0.0307	0.01293	-0.0132	0.02497
79	0.03309	0.00867	-0.01354	-0.02249	-0.01929	0.01216	-0.02336	0.00663	-0.00797	0.02889
80	0.03308	0.01047	-0.01589	-0.02337	-0.01806	0.0141	-0.02078	0.00468	-0.00691	0.02883
81	0.03318	0.01294	-0.01918	-0.02502	-0.0162	0.01698	-0.01664	0.00153	-0.00588	0.02837
84	0.03326	0.01612	-0.02337	-0.02714	-0.01318	0.02057	-0.00994	-0.00326	-0.00465	0.02555
85	0.0332	0.01907	-0.0271	-0.02878	-0.00964	0.02338	-0.00244	-0.0081	-0.0036	0.02034
86	0.03313	0.02027	-0.02859	-0.02934	-0.00801	0.02444	0.00096	-0.01023	-0.00312	0.01742
90	0.03283	0.02595	-0.03562	-0.03211	8e-05	0.02942	0.01793	-0.02086	-0.00112	0.00179
92	0.03279	0.02729	-0.03734	-0.03298	0.00218	0.03079	0.02252	-0.02389	-8e-04	-0.00298
93	0.03281	0.02822	-0.03857	-0.03371	0.00363	0.03187	0.0258	-0.02614	-0.00064	-0.00638
94	0.03275	0.02902	-0.03954	-0.0341	0.00498	0.03252	0.02863	-0.02787	-0.00049	-0.00955
96	0.03263	0.02952	-0.04004	-0.03409	0.0059	0.03261	0.03031	-0.02863	-0.00039	-0.01162
97	0.0326	0.02986	-0.04044	-0.03424	0.00649	0.03286	0.03153	-0.02937	-0.00033	-0.01306
99	0.03397	-0.03476	0.043	-0.01591	0.00317	-0.03307	0.03958	-0.02688	-0.02281	-0.00391
101	0.03398	-0.03429	0.0424	-0.01589	0.00229	-0.03264	0.0375	-0.02567	-0.0232	-0.00474
104	0.03394	-0.03295	0.04062	-0.01571	-1e-05	-0.03116	0.03173	-0.02218	-0.0237	-0.00657
105	0.03391	-0.03192	0.03924	-0.01555	-0.00172	-0.02999	0.0274	-0.01957	-0.02396	-0.00782
106	0.03388	-0.03116	0.03823	-0.01546	-0.00292	-0.02915	0.02437	-0.01775	-0.02413	-0.00842
109	0.03366	-0.02789	0.0337	-0.01496	-0.00748	-0.02496	0.01194	-0.00992	-0.02356	-0.00899
110	0.03363	-0.026	0.03118	-0.01494	-0.00994	-0.02285	0.00559	-0.00604	-0.02359	-0.00824
113	0.03356	-0.02102	0.02462	-0.01513	-0.01565	-0.01751	-0.00915	0.00283	-0.02334	-0.00405
116	0.0336	-0.01599	0.01814	-0.0158	-0.02029	-0.01254	-0.02091	0.00966	-0.02288	0.0028
118	0.03362	-0.01293	0.01425	-0.01634	-0.02239	-0.00964	-0.02628	0.01261	-0.02222	0.00758
119	0.03364	-0.0116	0.01258	-0.01662	-0.02316	-0.00844	-0.02823	0.01363	-0.02192	0.00973
