,X,Y,Spot_radius
0,0,0,0.5
2,0,2,0.5
4,0,4,0.5
5,0,5,0.5
6,0,6,0.5
10,0,11,0.5
12,0,13,0.5
13,0,14,0.5
16,0,17,0.5
19,0,20,0.5
20,0,21,0.5
23,0,24,0.5
24,0,25,0.5
30,0,31,0.5
31,0,32,0.5
32,0,33,0.5
34,0,35,0.5
35,0,36,0.5
36,0,37,0.5
38,0,39,0.5
39,0,40,0.5
43,0,44,0.5
44,0,45,0.5
45,0,46,0.5
50,1,1,0.5
55,1,6,0.5
56,1,7,0.5
58,1,9,0.5
65,1,16,0.5
66,1,17,0.5
69,1,20,0.5
70,1,21,0.5
71,1,22,0.5
72,1,23,0.5
73,1,24,0.5
76,1,27,0.5
79,1,30,0.5
80,1,31,0.5
81,1,32,0.5
84,1,35,0.5
85,1,36,0.5
86,1,37,0.5
90,1,41,0.5
92,1,43,0.5
93,1,44,0.5
94,1,45,0.5
96,1,47,0.5
97,1,48,0.5
99,2,0,0.5
101,2,2,0.5
104,2,5,0.5
105,2,6,0.5
106,2,7,0.5
109,2,10,0.5
110,2,11,0.5
113,2,14,0.5
116,2,17,0.5
118,2,19,0.5
119,2,20,0.5
120,2,21,0.5
121,2,22,0.5
125,2,26,0.5
127,2,28,0.5
128,2,29,0.5
131,2,32,0.5
133,2,34,0.5
134,2,35,0.5
135,2,36,0.5
138,2,39,0.5
139,2,40,0.5
140,2,41,0.5
146,2,47,0.5
148,2,49,0.5
149,3,0,0.5
151,3,2,0.5
152,3,3,0.5
153,3,4,0.5
154,3,5,0.5
157,3,8,0.5
158,3,9,0.5
159,3,10,0.5
162,3,13,0.5
168,3,19,0.5
169,3,20,0.5
170,3,21,0.5
171,3,22,0.5
174,3,25,0.5
175,3,26,0.5
177,3,28,0.5
181,3,32,0.5
183,3,34,0.5
184,3,35,0.5
188,3,39,0.5
189,3,40,0.5
190,3,41,0.5
191,3,42,0.5
193,3,44,0.5
195,3,46,0.5
197,3,48,0.5
199,4,0,0.5
200,4,1,0.5
201,4,2,0.5
202,4,3,0.5
203,4,4,0.5
205,4,6,0.5
206,4,7,0.5
207,4,8,0.5
208,4,9,0.5
209,4,10,0.5
211,4,12,0.5
212,4,13,0.5
213,4,14,0.5
215,4,16,0.5
216,4,17,0.5
217,4,18,0.5
218,4,19,0.5
219,4,20,0.5
220,4,21,0.5
221,4,22,0.5
222,4,23,0.5
223,4,24,0.5
224,4,25,0.5
225,4,26,0.5
226,4,27,0.5
227,4,28,0.5
228,4,29,0.5
229,4,30,0.5
232,4,33,0.5
237,4,38,0.5
240,4,41,0.5
247,4,48,0.5
252,5,3,0.5
257,5,8,0.5
260,5,11,0.5
262,5,13,0.5
263,5,14,0.5
265,5,16,0.5
266,5,17,0.5
269,5,20,0.5
270,5,21,0.5
271,5,22,0.5
272,5,23,0.5
274,5,25,0.5
275,5,26,0.5
278,5,29,0.5
279,5,30,0.5
281,5,32,0.5
286,5,37,0.5
289,5,40,0.5
290,5,41,0.5
291,5,42,0.5
292,5,43,0.5
294,5,45,0.5
296,5,47,0.5
299,6,0,0.5
300,6,1,0.5
304,6,5,0.5
305,6,6,0.5
309,6,10,0.5
310,6,11,0.5
311,6,12,0.5
313,6,14,0.5
314,6,15,0.5
316,6,17,0.5
317,6,18,0.5
319,6,20,0.5
324,6,25,0.5
328,6,29,0.5
329,6,30,0.5
330,6,31,0.5
333,6,34,0.5
336,6,37,0.5
337,6,38,0.5
340,6,41,0.5
343,6,44,0.5
345,6,46,0.5
346,6,47,0.5
348,6,49,0.5
349,7,0,0.5
355,7,6,0.5
357,7,8,0.5
359,7,10,0.5
360,7,11,0.5
361,7,12,0.5
362,7,13,0.5
363,7,14,0.5
366,7,17,0.5
367,7,18,0.5
370,7,21,0.5
375,7,26,0.5
376,7,27,0.5
378,7,29,0.5
379,7,30,0.5
380,7,31,0.5
381,7,32,0.5
383,7,34,0.5
386,7,37,0.5
389,7,40,0.5
390,7,41,0.5
391,7,42,0.5
392,7,43,0.5
395,7,46,0.5
397,7,48,0.5
398,7,49,0.5
400,8,1,0.5
401,8,2,0.5
402,8,3,0.5
403,8,4,0.5
404,8,5,0.5
406,8,7,0.5
407,8,8,0.5
