,X,Y,Spot_radius
0,0,0,0.5
2,0,2,0.5
3,0,3,0.5
4,0,4,0.5
5,0,5,0.5
6,0,6,0.5
7,0,8,0.5
11,0,12,0.5
12,0,13,0.5
14,0,15,0.5
15,0,16,0.5
20,0,21,0.5
24,0,25,0.5
26,0,27,0.5
30,0,31,0.5
31,0,32,0.5
32,0,33,0.5
33,0,34,0.5
34,0,35,0.5
36,0,37,0.5
38,0,39,0.5
40,0,41,0.5
42,0,43,0.5
43,0,44,0.5
45,0,46,0.5
52,1,3,0.5
53,1,4,0.5
54,1,5,0.5
55,1,6,0.5
56,1,7,0.5
57,1,8,0.5
62,1,13,0.5
63,1,14,0.5
64,1,15,0.5
65,1,16,0.5
66,1,17,0.5
70,1,21,0.5
71,1,22,0.5
72,1,23,0.5
73,1,24,0.5
74,1,25,0.5
77,1,28,0.5
79,1,30,0.5
80,1,31,0.5
84,1,35,0.5
87,1,38,0.5
88,1,39,0.5
89,1,40,0.5
92,1,43,0.5
93,1,44,0.5
95,1,46,0.5
96,1,47,0.5
99,2,0,0.5
100,2,1,0.5
102,2,3,0.5
106,2,7,0.5
107,2,8,0.5
109,2,10,0.5
110,2,11,0.5
111,2,12,0.5
113,2,14,0.5
115,2,16,0.5
117,2,18,0.5
119,2,20,0.5
123,2,24,0.5
127,2,28,0.5
128,2,29,0.5
130,2,31,0.5
131,2,32,0.5
133,2,34,0.5
134,2,35,0.5
137,2,38,0.5
138,2,39,0.5
140,2,41,0.5
143,2,44,0.5
147,2,48,0.5
154,3,5,0.5
156,3,7,0.5
157,3,8,0.5
159,3,10,0.5
163,3,14,0.5
165,3,16,0.5
166,3,17,0.5
167,3,18,0.5
174,3,25,0.5
176,3,27,0.5
177,3,28,0.5
178,3,29,0.5
180,3,31,0.5
182,3,33,0.5
184,3,35,0.5
188,3,39,0.5
190,3,41,0.5
192,3,43,0.5
193,3,44,0.5
195,3,46,0.5
197,3,48,0.5
199,4,0,0.5
201,4,2,0.5
204,4,5,0.5
205,4,6,0.5
207,4,8,0.5
208,4,9,0.5
210,4,11,0.5
212,4,13,0.5
213,4,14,0.5
217,4,18,0.5
218,4,19,0.5
219,4,20,0.5
220,4,21,0.5
222,4,23,0.5
224,4,25,0.5
226,4,27,0.5
228,4,29,0.5
232,4,33,0.5
233,4,34,0.5
235,4,36,0.5
236,4,37,0.5
237,4,38,0.5
240,4,41,0.5
242,4,43,0.5
244,4,45,0.5
245,4,46,0.5
246,4,47,0.5
247,4,48,0.5
248,4,49,0.5
249,5,0,0.5
252,5,3,0.5
253,5,4,0.5
255,5,6,0.5
256,5,7,0.5
257,5,8,0.5
258,5,9,0.5
259,5,10,0.5
260,5,11,0.5
263,5,14,0.5
264,5,15,0.5
265,5,16,0.5
266,5,17,0.5
267,5,18,0.5
269,5,20,0.5
271,5,22,0.5
272,5,23,0.5
273,5,24,0.5
274,5,25,0.5
276,5,27,0.5
279,5,30,0.5
280,5,31,0.5
281,5,32,0.5
287,5,38,0.5
288,5,39,0.5
289,5,40,0.5
294,5,45,0.5
295,5,46,0.5
298,5,49,0.5
304,6,5,0.5
305,6,6,0.5
307,6,8,0.5
319,6,20,0.5
322,6,23,0.5
325,6,26,0.5
327,6,28,0.5
328,6,29,0.5
330,6,31,0.5
333,6,34,0.5
336,6,37,0.5
338,6,39,0.5
344,6,45,0.5
345,6,46,0.5
349,7,0,0.5
356,7,7,0.5
357,7,8,0.5
360,7,11,0.5
361,7,12,0.5
363,7,14,0.5
367,7,18,0.5
368,7,19,0.5
370,7,21,0.5
374,7,25,0.5
376,7,27,0.5
377,7,28,0.5
378,7,29,0.5
379,7,30,0.5
382,7,33,0.5
385,7,36,0.5
386,7,37,0.5
387,7,38,0.5
390,7,41,0.5
391,7,42,0.5
392,7,43,0.5
394,7,45,0.5
396,7,47,0.5
398,7,49,0.5
400,8,1,0.5
401,8,2,0.5
402,8,3,0.5
404,8,5,0.5
405,8,6,0.5
406,8,7,0.5
408,8,9,0.5
410,8,11,0.5
413,8,14,0.5
417,8,18,0.5
419,8,20,0.5
420,8,21,0.5
423,8,24,0.5
424,8,25,0.5
425,8,26,0.5
426,8,27,0.5
431,8,32,0.5
432,8,33,0.5
